"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.189487309E0,9.050082564E-1,2.992752194E-1,1.598847866E1
2.199370353E0,7.098808289E-1,4.716577232E-1,1.598488808E1
2.209358375E0,6.715735793E-1,6.835445762E-1,1.580891418E1
2.219303386E0,7.206547260E-1,9.756371975E-1,1.554555130E1
2.229304391E0,8.643068075E-1,1.379060149E0,1.519958973E1
2.239336894E0,9.457096457E-1,1.788468719E0,1.470877838E1
2.249342145E0,1.029506683E0,2.171540976E0,1.430176353E1
2.259364771E0,1.148019671E0,2.511517525E0,1.403241634E1
2.269348584E0,1.267729759E0,2.850297213E0,1.356435013E1
2.279320990E0,1.191115379E0,3.258508444E0,1.311423969E1
2.289387193E0,1.124077678E0,3.624821424E0,1.272039318E1
2.299390295E0,1.095347285E0,3.873818398E0,1.236006641E1
2.309379346E0,1.028309584E0,4.195838451E0,1.185369301E1
2.319332371E0,1.120486379E0,4.644751072E0,1.192671585E1
2.329339884E0,1.097741485E0,4.879383087E0,1.203086376E1
2.339328140E0,1.139639974E0,5.169081688E0,1.206557941E1
2.349398268E0,1.290474772E0,5.364208698E0,1.202966690E1
2.359372832E0,1.476025343E0,5.483919144E0,1.170764637E1
2.369344114E0,1.454477549E0,5.474342346E0,1.109951878E1
2.379378255E0,1.327584863E0,5.327098846E0,1.033576870E1
2.389377326E0,1.142034173E0,5.056553841E0,9.769539833E0
2.399400361E0,9.433154464E-1,4.803965569E0,9.337387085E0
2.409414379E0,8.858546019E-1,4.685452938E0,8.740033150E0
2.419361888E0,1.005564690E0,4.726154327E0,8.232462883E0
2.429409142E0,1.118092179E0,4.800374508E0,7.726089001E0
2.439363769E0,1.187524080E0,4.643554211E0,7.037755966E0
2.449362583E0,1.180341482E0,4.570530891E0,6.829460144E0
2.459379990E0,1.066616893E0,4.447229862E0,6.757634163E0
2.469394693E0,8.798691034E-1,4.173093796E0,6.590040207E0
2.479349045E0,7.613561153E-1,3.973177671E0,6.110002518E0
2.489330721E0,1.015141487E0,3.839102507E0,4.668693542E0
2.499330059E0,1.278503656E0,3.825934410E0,3.921702385E0
2.509356728E0,1.495178938E0,3.758896589E0,3.090914488E0
2.519335562E0,1.520318031E0,3.570951939E0,2.457648039E0
2.529327979E0,1.492784739E0,3.356670856E0,2.339135170E0
2.539341688E0,1.446097851E0,3.075352192E0,2.729389906E0
2.549393042E0,1.363497853E0,2.750937700E0,3.345896959E0
2.559349719E0,1.200692177E0,2.414552450E0,3.991134167E0
2.569359558E0,1.033097982E0,2.073378563E0,4.541800499E0
2.579336977E0,7.685387731E-1,1.703474522E0,4.823119164E0
2.589388687E0,5.386953950E-1,1.341950059E0,4.955997467E0
2.599360042E0,4.165911078E-1,9.828197956E-1,5.051765442E0
2.609342219E0,4.261679053E-1,6.596025825E-1,5.086481571E0
2.619405308E0,5.602431893E-1,4.704606235E-1,5.339069843E0
2.629409852E0,9.193734527E-1,4.656722248E-1,5.748478413E0
2.639357124E0,1.286883354E0,5.171475410E-1,6.181828976E0
2.649393760E0,1.468842745E0,4.860229492E-1,6.989871979E0
2.659353078E0,1.507149935E0,3.675099611E-1,8.039729118E0
2.669345237E0,9.097966552E-1,7.422025502E-2,9.196128845E0
2.679349817E0,5.602431893E-1,-8.140286058E-2,9.844957352E0
2.689370107E0,4.393360019E-1,-3.100491166E-1,1.052969933E1
2.699361252E0,3.519476354E-1,-5.303156972E-1,1.116775417E1
2.709635324E0,3.172317147E-1,-5.889736414E-1,1.218648624E1
2.719466360E0,3.699041605E-1,-5.171475410E-1,1.344942760E1
2.729414878E0,3.244143426E-1,-3.854664862E-1,1.462498093E1
2.739423137E0,2.537853718E-1,-2.597708702E-1,1.575384712E1
2.749411767E0,2.968810201E-1,-7.182604820E-2,1.669117737E1
2.759394082E0,2.466027737E-1,7.781155407E-2,1.703713989E1
2.769437739E0,9.576806426E-2,3.004723191E-1,1.673307610E1
2.779369068E0,9.576806426E-2,6.272808313E-1,1.620635223E1
2.789465732E0,1.352723986E-1,1.061828494E0,1.556111431E1
2.799424564E0,4.357447028E-1,1.505952835E0,1.481292629E1
2.809395480E0,7.122750282E-1,1.951274395E0,1.416289997E1
2.819361438E0,8.906430602E-1,2.464830637E0,1.351766300E1
2.829352417E0,9.828197956E-1,2.966415882E0,1.293108368E1
2.839338407E0,1.430535555E0,3.885789394E0,1.229781723E1
2.849351902E0,1.490390539E0,4.174290657E0,1.191713905E1
2.859334149E0,1.309628367E0,4.288015366E0,1.164898872E1
2.869348273E0,1.015141487E0,4.337096214E0,1.167652130E1
2.879316835E0,7.864952683E-1,4.351461411E0,1.173517990E1
2.889415116E0,7.433996201E-1,4.517858505E0,1.169806957E1
2.899362756E0,8.343793154E-1,4.874594688E0,1.153765774E1
2.909352076E0,1.021126986E0,5.237316132E0,1.131978607E1
2.919366736E0,1.304839969E0,5.524620533E0,1.107437992E1
2.929330566E0,1.541865945E0,5.679046631E0,1.058955383E1
2.939316481E0,1.675941229E0,5.772420406E0,9.949105263E0
2.949339439E0,1.710657120E0,5.784391403E0,9.574412346E0
2.959765418E0,1.673547029E0,5.729324818E0,9.380482674E0
2.969561907E0,1.533486247E0,5.574898720E0,9.159018517E0
2.979433652E0,1.306037068E0,5.347449303E0,8.949525833E0
2.989397524E0,1.072602391E0,5.024232388E0,8.851364136E0
2.999354960E0,7.757213712E-1,4.680664539E0,8.610746384E0
3.009364178E0,5.135562420E-1,4.352658749E0,8.418013573E0
3.019329787E0,2.896983922E-1,3.922899485E0,7.791929245E0
3.029357092E0,4.237737060E-1,3.886986494E0,7.120356083E0
3.039382744E0,8.032546639E-1,3.936067581E0,6.285976410E0
3.049389070E0,1.201889277E0,4.036623955E0,5.327098846E0
3.059354733E0,1.531091928E0,4.028244495E0,4.639962673E0
3.069355565E0,1.709460020E0,3.939658880E0,4.180276394E0
3.079324981E0,1.641225219E0,3.667917013E0,3.894169092E0
3.089395689E0,1.545457244E0,3.329137564E0,3.822343111E0
3.099365543E0,1.398213744E0,3.004723072E0,3.793612480E0
3.109380470E0,1.242590666E0,2.703053713E0,3.799597979E0
3.119338433E0,1.083376288E0,2.349909067E0,4.062960148E0
3.129321915E0,8.966285586E-1,1.944091797E0,4.511873245E0
3.139388656E0,6.751648784E-1,1.497573137E0,5.117606163E0
3.149380526E0,6.165069342E-1,1.082179189E0,5.845443249E0
3.159330961E0,6.835445762E-1,7.314286232E-1,6.345831394E0
3.169320679E0,7.254431248E-1,4.824316502E-1,6.777985096E0
3.179317038E0,7.601590157E-1,3.902548850E-1,7.061697960E0
3.189320217E0,8.104372621E-1,2.358288616E-1,7.625532627E0
3.199316307E0,8.810662031E-1,1.113303825E-1,8.008605003E0
3.209319852E0,8.367735147E-1,-6.224924326E-2,8.495824814E0
3.219314624E0,7.134721279E-1,-2.932897210E-1,8.795100212E0
3.229341010E0,6.093243361E-1,-5.638344884E-1,8.962694168E0
3.239316203E0,5.255272985E-1,-8.271966577E-1,9.131484985E0
3.249324800E0,4.944026470E-1,-9.349357486E-1,9.441534042E0
3.259342598E0,6.236895323E-1,-7.769184709E-1,9.701305389E0
3.269352497E0,8.702923059E-1,-4.357447028E-1,1.007001209E1
3.279353447E0,1.194706678E0,-7.422025502E-2,1.065659142E1
3.289356922E0,1.436521053E0,1.795651317E-1,1.132217979E1
3.299326659E0,1.437718153E0,2.477998734E-1,1.195544624E1
3.309342528E0,1.241393566E0,2.142810524E-1,1.245942593E1
3.319311962E0,1.073799491E0,1.604115069E-1,1.298854446E1
3.329385679E0,9.145850539E-1,1.963245422E-1,1.339436150E1
3.339379538E0,6.775590777E-1,3.088520169E-1,1.380377007E1
3.349354967E0,3.986345828E-1,4.955997467E-1,1.417367363E1
3.359329682E0,2.501940727E-1,7.350199223E-1,1.438077259E1
3.369357039E0,6.715735793E-1,1.567005038E0,1.426824474E1
3.379341218E0,7.817068696E-1,2.048239470E0,1.411262226E1
3.389381807E0,9.385270476E-1,2.709039211E0,1.401445961E1
3.399353102E0,1.049857497E0,3.342305660E0,1.407790565E1
3.409330749E0,1.031900883E0,3.837905407E0,1.415571785E1
3.419319573E0,8.834604025E-1,4.170699596E0,1.399530602E1
3.429322485E0,6.021417379E-1,4.311957359E0,1.375468922E1
3.439437941E0,3.699041605E-1,4.395754337E0,1.352843666E1
3.449510669E0,2.861070931E-1,4.475960255E0,1.319683933E1
3.459424533E0,1.568202078E-1,4.686649799E0,1.297178459E1
3.469394965E0,1.532289088E-1,4.923676014E0,1.292150688E1
3.479382181E0,4.022258818E-1,5.146336555E0,1.299572659E1
3.489366789E0,7.015010715E-1,5.374982834E0,1.287960815E1
3.499369593E0,8.583213091E-1,5.480327606E0,1.235767174E1
3.509333495E0,8.690952063E-1,5.437232018E0,1.150653362E1
3.519319946E0,7.481880188E-1,5.312733650E0,1.076672459E1
3.529560671E0,7.038952708E-1,5.147533417E0,9.963470459E0
3.539458534E0,7.685387731E-1,5.015852451E0,8.823830605E0
3.549448465E0,9.768342972E-1,4.990713596E0,8.390480042E0
3.559421931E0,1.096544385E0,4.945223808E0,7.929595947E0
3.569357164E0,1.162384868E0,4.865017891E0,7.408857346E0
3.579386780E0,1.234210968E0,4.772840977E0,6.949170589E0
3.589727088E0,1.230619669E0,4.653131008E0,6.528987885E0
3.599537242E0,1.133654475E0,4.577713490E0,6.175843239E0
3.609444819E0,1.011550188E0,4.516661644E0,5.731719017E0
3.619372608E0,9.361328483E-1,4.402936935E0,5.210979939E0
3.629400502E0,1.034295082E0,4.295197964E0,4.723760128E0
3.639336949E0,1.161187768E0,4.121618271E0,4.045003891E0
3.649371673E0,1.363497853E0,3.957615376E0,3.229778051E0
3.659349535E0,1.598129630E0,3.891774893E0,2.639607430E0
3.669353466E0,1.759738207E0,3.846285105E0,2.276885748E0
3.679323431E0,1.735796213E0,3.681085110E0,2.136825085E0
3.689319414E0,1.559822440E0,3.293224335E0,2.308010340E0
3.699327905E0,1.265335560E0,2.771288395E0,2.819172382E0
3.709634151E0,9.528923035E-1,2.242169857E0,3.600879431E0
3.719455274E0,5.805938840E-1,1.142034173E0,4.728548527E0
3.729388335E0,5.099649429E-1,7.529764175E-1,5.024232388E0
3.739371866E0,5.949591398E-1,4.608838260E-1,5.161899090E0
3.749385631E0,6.009446383E-1,1.903390288E-1,5.081693172E0
3.759363514E0,7.685387731E-1,-5.746084079E-2,4.988319397E0
3.769349455E0,1.235408068E0,-2.549824715E-1,5.227739334E0
3.779326926E0,1.692700624E0,-3.112462163E-1,6.129156113E0
3.789383661E0,1.982398987E0,-2.561795712E-1,7.254431248E0
3.799359029E0,2.008735180E0,-2.442085743E-1,8.273163795E0
3.809354213E0,1.906981707E0,-4.489128292E-1,9.034520149E0
3.819329305E0,1.589749932E0,-9.109937549E-1,9.629479408E0
3.829302351E0,1.241393566E0,-1.468842745E0,1.005684471E1
3.839328374E0,1.128866076E0,-1.874659896E0,1.020648193E1
3.849330385E0,1.159990668E0,-2.067393064E0,1.058476543E1
3.859314391E0,1.417367458E0,-1.905784607E0,1.133654499E1
3.869310894E0,1.748964310E0,-1.622071624E0,1.234570122E1
3.879406645E0,1.942894697E0,-1.405396342E0,1.311064816E1
3.889373521E0,1.946485996E0,-1.323993564E0,1.390911484E1
3.899325959E0,1.544260144E0,-1.497573137E0,1.606509399E1
3.909350678E0,1.042674899E0,-1.502361536E0,1.693179512E1
3.919314037E0,5.674257874E-1,-1.356315255E0,1.734000587E1
3.929321717E0,2.370259613E-1,-1.139639974E0,1.729331970E1
