"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.300162883E1,-1.445787512E0,1.602424187E0,2.440605594E0,3.258008667E0
1.301164783E1,-3.048735025E0,-1.557438049E0,5.070918252E0,6.118382993E0
1.302166783E1,-2.946018742E0,-3.134882931E0,1.730530250E0,4.636944292E0
1.303168683E1,-1.984654335E0,-1.673390089E0,1.126374879E0,2.829806988E0
1.304170583E1,7.651150386E-1,2.957322287E0,3.616960133E0,4.734295802E0
1.305172483E1,3.074628543E0,1.210854281E0,-4.771628519E0,5.804131933E0
1.306174483E1,4.337409315E0,-1.250473845E-1,-6.806660711E0,8.072136424E0
1.307176383E1,1.836501824E0,1.278163919E0,-1.662956318E0,2.787806606E0
1.308178283E1,-1.823572900E0,1.161831225E0,3.277067335E0,3.926122799E0
1.309180183E1,-3.190511294E0,-1.990934245E0,4.353694103E0,5.753071686E0
1.310182183E1,-2.771484910E0,-3.277373729E0,1.536742998E0,4.558934767E0
1.311184083E1,-1.703661563E0,-8.038430482E-1,1.297679586E0,2.287487416E0
1.312185983E1,1.253942121E0,3.005651278E0,3.305664897E0,4.640445115E0
1.313187883E1,3.384717791E0,1.007260079E0,-6.191753479E0,7.128022064E0
1.314189883E1,4.297688594E0,-3.090224236E-1,-6.489507734E0,7.789694008E0
1.315191783E1,1.032306628E0,1.724369624E0,-5.190959251E-1,2.075709072E0
1.316193683E1,-2.125578080E0,6.057195014E-1,4.002718492E0,4.572388174E0
1.317195683E1,-3.245304967E0,-2.314385843E0,3.555150386E0,5.341112283E0
1.318197583E1,-2.578117196E0,-3.242757627E0,1.608820456E0,4.444149926E0
1.319199483E1,-1.361964752E0,1.875687379E-1,1.613553193E0,2.119831107E0
1.320201383E1,1.715121814E0,2.745647818E0,1.530871224E0,3.581032181E0
1.321203383E1,3.651334452E0,8.199889648E-1,-6.177055918E0,7.222232688E0
1.322205283E1,4.089606070E0,-3.442285091E-1,-6.402939706E0,7.605327603E0
1.323207183E1,2.759559806E-1,2.032097474E0,7.899050403E-1,2.197617305E0
1.324209083E1,-2.434825329E0,-1.069666243E-1,4.461208026E0,5.083521741E0
1.325211079E1,-3.240203856E0,-2.511809478E0,2.632393098E0,4.872124927E0
1.326212979E1,-2.410811691E0,-3.073419338E0,1.442241468E0,4.163889995E0
1.327214879E1,-7.471507841E-1,1.210854866E0,2.371416661E0,2.765505520E0
1.328216779E1,2.165309325E0,2.336982408E0,-1.714216518E-1,3.190522940E0
1.329218779E1,3.801957558E0,5.253752500E-1,-6.605522339E0,7.639622098E0
1.330220679E1,3.614956293E0,-3.575163066E-2,-5.372518805E0,6.475580707E0
1.331222579E1,-4.462298240E-1,1.997780165E0,1.385567915E0,2.471850540E0
1.332224479E1,-2.732829259E0,-6.951023787E-1,5.141135126E0,5.863684291E0
1.333226479E1,-2.962634482E0,-2.777923864E0,1.946584868E0,4.503693675E0
1.334228379E1,-2.346804707E0,-2.660227599E0,1.450594801E0,3.832561608E0
1.335230279E1,-1.906976012E-1,2.111101543E0,3.028309239E0,3.696453997E0
1.336232279E1,2.526602933E0,1.834179164E0,-2.232362856E0,3.838147927E0
1.337234179E1,4.074472014E0,2.041438401E-1,-6.738031940E0,7.876805909E0
1.338236079E1,2.978776014E0,4.971337831E-1,-3.985087967E0,5.000117463E0
1.339237979E1,-1.056527403E0,1.741492025E0,2.417109143E0,3.160927274E0
1.340239979E1,-2.983666917E0,-1.266910368E0,4.963031276E0,5.927816597E0
1.341241879E1,-2.929375520E0,-2.977282927E0,1.686839855E0,4.504540294E0
1.342243779E1,-2.182668247E0,-2.067865477E0,1.028093709E0,3.177591065E0
1.343245679E1,4.801834358E-1,2.730821618E0,3.794336590E0,4.699463054E0
1.344247679E1,2.858172805E0,1.416376895E0,-3.994195590E0,5.111640999E0
1.345249579E1,4.315293683E0,-7.116119921E-2,-6.681571226E0,7.954257825E0
1.346251479E1,2.179767589E0,1.098995292E0,-2.444319745E0,3.454544313E0
1.347253379E1,-1.566927641E0,1.322312152E0,2.654303784E0,3.353967835E0
1.348255379E1,-3.167786675E0,-1.753245513E0,4.958311404E0,6.139510911E0
1.349257279E1,-2.794553345E0,-3.158243726E0,1.533876693E0,4.487405658E0
1.350259179E1,-1.927225614E0,-1.284960723E0,1.177619877E0,2.598482481E0
1.351261079E1,1.109296185E0,2.981695236E0,3.309949737E0,4.590948896E0
1.352263079E1,3.109650733E0,1.135683646E0,-5.267624434E0,6.221540983E0
1.353264979E1,4.359698024E0,-2.232700825E-1,-6.597491773E0,7.910986923E0
1.354266879E1,1.452932810E0,1.518686212E0,-1.165655304E0,2.403367190E0
1.355268779E1,-1.918238005E0,8.613802350E-1,3.557137270E0,4.132171162E0
1.356270779E1,-3.306553089E0,-2.110993955E0,4.002477586E0,5.604410374E0
1.357272679E1,-2.724520074E0,-3.302372330E0,1.695362756E0,4.604663670E0
1.358274579E1,-1.554658282E0,-3.625577760E-1,1.282504892E0,2.047737609E0
1.359276479E1,1.599350452E0,2.975257452E0,2.243300657E0,4.054932380E0
1.360278479E1,3.433016669E0,8.578543639E-1,-5.706412361E0,6.714511121E0
1.361280379E1,4.313409126E0,-2.610033345E-1,-6.798804392E0,8.055889906E0
1.362282279E1,6.296068391E-1,1.818187614E0,1.465791714E-1,1.929688168E0
1.363284279E1,-2.257665951E0,3.169459856E-1,4.153195417E0,4.737778221E0
1.364286179E1,-3.246115391E0,-2.399721277E0,3.180238613E0,5.139050980E0
1.365288079E1,-2.556416132E0,-3.267752720E0,1.623239690E0,4.455151891E0
1.366289979E1,-1.079400833E0,6.560874170E-1,2.031656009E0,2.392317495E0
1.367291979E1,1.914166735E0,2.629467151E0,6.983048987E-1,3.326523940E0
1.368293879E1,3.762845240E0,6.144324374E-1,-6.553324245E0,7.581727388E0
1.369295779E1,3.948363652E0,-1.180798423E-1,-5.760747027E0,6.984964187E0
1.370297679E1,-4.413920570E-2,1.948229690E0,7.615846360E-1,2.092261540E0
1.371299679E1,-2.577299170E0,-2.794372666E-1,5.132952533E0,5.750457191E0
1.372301579E1,-3.215749631E0,-2.666148489E0,2.020460930E0,4.640221527E0
1.373303479E1,-2.406010689E0,-2.952628727E0,1.548056191E0,4.111372253E0
1.374305379E1,-4.090656522E-1,1.634906639E0,2.876082827E0,3.333482691E0
