"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.501932344E0,4.489421844E-4,5.698978901E-3,1.136684418E-2,1.272340584E-2
1.512003145E0,2.009594440E-2,1.244157553E-2,-2.082824707E-2,3.150326426E-2
1.522073946E0,1.017773151E-2,2.778500319E-3,-3.362655640E-3,1.107310868E-2
1.532144746E0,6.357431412E-3,-1.370400190E-3,7.163047791E-3,9.674925555E-3
1.542215547E0,-2.117753029E-4,-1.926091313E-2,7.499694824E-3,2.067058407E-2
1.552286348E0,-4.261016846E-3,-3.481456637E-2,-6.629943848E-3,3.569546822E-2
1.562357149E0,5.125403404E-4,-2.413243055E-3,-8.725166321E-3,9.067246934E-3
1.572427950E0,9.183287621E-3,1.675391197E-2,5.460739136E-3,1.987073249E-2
1.582498750E0,-3.276944160E-3,1.272916794E-2,2.957248688E-2,3.236204659E-2
1.592569551E0,-8.949756622E-3,-6.206601858E-3,1.528167725E-2,1.876565239E-2
1.602640352E0,-4.034638405E-3,-3.203374147E-2,-1.185131073E-2,3.439320378E-2
1.612711153E0,-3.900170326E-3,-3.270646930E-2,-1.086616516E-2,3.468426167E-2
1.622781953E0,4.342436790E-3,-1.599583030E-2,-1.513576508E-2,2.244581762E-2
1.632852754E0,1.113027334E-2,1.173666120E-2,1.545906067E-2,2.237442195E-2
1.642862520E0,1.307505369E-2,2.696585655E-2,1.320362091E-2,3.274828322E-2
1.653024873E0,-2.981185913E-3,3.296136856E-5,-1.037979126E-2,1.079947325E-2
1.663065157E0,2.324998379E-3,6.071329117E-4,9.546279907E-4,2.585641590E-3
1.673166475E0,1.671743393E-2,-2.892819047E-2,-3.708839417E-3,3.361648838E-2
1.683206758E0,1.095336676E-2,-4.069331288E-2,-2.672863007E-2,4.990332275E-2
1.694162569E0,7.697224617E-3,2.315956354E-2,-1.194286346E-2,2.717065767E-2
1.703348360E0,1.842951775E-2,3.511697054E-2,3.499984741E-3,3.981329724E-2
1.713419160E0,1.492416859E-2,2.931484580E-2,2.595138550E-2,4.189946780E-2
1.723489961E0,1.268619299E-2,6.345182657E-3,1.928997040E-2,2.394376314E-2
1.733560762E0,-2.206563950E-3,-2.236366272E-4,-6.812095642E-3,7.164048076E-3
1.743631563E0,4.239082336E-3,-9.479284286E-3,-2.509689331E-2,2.716027804E-2
1.753702364E0,-1.109004021E-3,-6.847530603E-3,-6.323814392E-3,9.386649762E-3
1.763773164E0,7.849931717E-5,4.369586706E-3,5.465507507E-3,6.997944158E-3
1.773874483E0,1.454579830E-2,1.869383454E-2,1.569652557E-2,2.841514760E-2
1.783914766E0,1.695197821E-2,9.397625923E-3,-1.491737366E-2,2.445839273E-2
1.793985567E0,6.548523903E-3,-2.494513988E-3,-1.326942444E-2,1.500611176E-2
1.804056367E0,-1.623749733E-2,-4.727125168E-3,-1.108646393E-2,2.022156558E-2
1.814157686E0,-7.583677769E-3,-6.885319948E-3,-1.186752319E-2,1.567666757E-2
1.824228487E0,1.917481422E-3,-8.589923382E-4,4.723548889E-3,5.169769526E-3
1.834268770E0,-1.260161400E-2,2.403840423E-2,3.991127014E-3,2.743309403E-2
1.844339571E0,-1.970416307E-2,1.862031221E-2,1.484680176E-2,3.090950650E-2
1.854410371E0,-1.037424803E-2,6.996005774E-3,1.492691040E-2,1.947772505E-2
1.864511690E0,-1.176893711E-2,2.131253481E-3,-1.045417786E-2,1.588521189E-2
1.874551973E0,-9.060859680E-3,-4.872351885E-3,-1.068115234E-2,1.482990244E-2
1.884622774E0,-2.148824930E-2,-1.801458001E-2,1.829147339E-3,2.810010198E-2
1.895639619E0,-4.561543465E-3,1.672625542E-3,1.768112183E-3,5.170258763E-3
1.904764375E0,-1.193207502E-2,1.260575652E-2,-1.159572601E-2,2.087439517E-2
1.914865694E0,1.770317554E-3,4.087716341E-3,9.450912476E-4,4.553750827E-3
1.924936494E0,1.386541128E-2,-4.146367311E-3,-3.718376160E-3,1.494216561E-2
1.934976778E0,-3.957688808E-3,-8.639693260E-3,-5.334854126E-3,1.089808556E-2
1.945078096E0,-5.566298962E-3,-1.979619265E-3,-1.442050934E-2,1.558376290E-2
1.955148897E0,2.141833305E-3,3.293186426E-3,-1.972198486E-2,2.010943096E-2
1.965219698E0,-4.286885262E-3,-2.976357937E-4,-1.906490326E-2,1.954319597E-2
1.975259981E0,-1.109129190E-2,-6.069779396E-3,4.137992859E-3,1.330345680E-2
1.985361299E0,-2.623736858E-3,6.861925125E-3,3.003406525E-2,3.091949364E-2
1.995432100E0,-2.047246695E-2,1.647156477E-2,8.781433105E-3,2.770465514E-2
2.005502901E0,-2.094054222E-2,2.027869225E-3,-1.059818268E-2,2.355716533E-2
2.015543184E0,1.159965992E-3,-4.397034645E-3,4.799842834E-3,6.611953267E-3
2.025613985E0,9.219110012E-3,-1.523932815E-2,-1.156806946E-3,1.784845411E-2
2.035715303E0,1.007705927E-2,3.138184547E-4,-1.693725586E-3,1.022322414E-2
2.045786104E0,9.151160717E-3,2.344635129E-2,1.340770721E-2,2.851739371E-2
